HoD,Rate
1,0.7229763700351935
2,0.9005497251374313
3,0.9246463547334058
4,0.9001572327044025
5,0.9423384943940203
6,0.9150036954915004
7,0.6211946494464944
8,0.48295899712718726
9,0.39447344475839274
10,0.39170506912442393
11,0.4532793112180299
12,0.5051851851851852
13,0.48302926347523256
14,0.4866487269716415
15,0.46413326392503906
16,0.5211655064001797
17,0.6463506395786305
18,0.47634086004526555
19,0.34513488447114804
20,0.3141609719058466
21,0.3249843717441133
22,0.3231696507711399
23,0.32039099795408044
24,0.34940195723088074
